,Area.km2,Perimeter.km,abiotic_plant,zoo_plant,total.plant,kgc.variety,phz_variety,elevation.mean,elevation.range,precipitation.mean,precipitation.range,soil_variety,near_length,number_near,mass_effect,native.total.bird,native.total.reptile,native.total.frugivore,total_bird_mass,total_reptile_mass,total_frugivore_mass,min_temp_range,min_temp_mean,Centroid_X,Centroid_Y,abiotic_plant_2,zoo_plant_2,total.plant_2,max_temp_mean,log_Area,log_kgc_var,log_soil_var
Area.km2,1,0.964030365,0.80273742,0.806528294,0.806056397,0.766817348,0.793717242,0.33255477,0.617839963,0.11202285,0.600104497,0.82692056,-0.049839937,0.144846647,0.175467104,0.555952373,0.808198045,0.714630739,0.561483719,0.26032811,0.306599341,0.64303436,0.188572343,-0.065129051,-0.010502717,-0.048246188,0.002888082,-0.031038437,-0.043754265,0.591857886,0.511674382,0.611333923
Perimeter.km,0.964030365,1,0.762299305,0.756661044,0.761237729,0.723371759,0.812264581,0.267104261,0.556677235,0.107979257,0.589353134,0.803700736,-0.052504393,0.153960005,0.193018794,0.570316979,0.744167,0.697542281,0.597319109,0.272426442,0.321896832,0.593126649,0.243100886,-0.116509158,0.051540204,-0.064845298,-0.006864614,-0.045779109,-0.010376894,0.665709243,0.484363861,0.598733682
abiotic_plant,0.80273742,0.762299305,1,0.992036454,0.998348732,0.825662132,0.711603443,0.586325177,0.78755971,0.283730969,0.821713555,0.880786304,0.02109011,0.105110075,0.053148385,0.769242858,0.858449135,0.877862295,0.788786118,0.439911405,0.500873061,0.800134164,0.174727775,0.206637803,-0.214403022,-0.078978851,-0.032324448,-0.064825815,-0.302264589,0.684349848,0.660843733,0.748755605
zoo_plant,0.806528294,0.756661044,0.992036454,1,0.997633466,0.821568979,0.725395144,0.624213565,0.821078274,0.302674971,0.832119461,0.892220967,0.039360404,0.092204588,0.051366223,0.777554037,0.870314014,0.888402777,0.798374814,0.408803563,0.472491941,0.837440433,0.170189014,0.21060154,-0.22538233,-0.083886008,-0.033031993,-0.068360013,-0.322522739,0.693662863,0.648735841,0.769332563
total.plant,0.806056397,0.761237729,0.998348732,0.997633466,1,0.825430758,0.719303099,0.604766743,0.804406877,0.292932983,0.828087114,0.887746069,0.02946463,0.099432317,0.052440848,0.774557119,0.865560869,0.884408449,0.794721741,0.426595048,0.488921063,0.81873374,0.173003823,0.20885489,-0.219835163,-0.081373353,-0.032711173,-0.066566102,-0.312102672,0.689952875,0.656630518,0.759623482
kgc.variety,0.766817348,0.723371759,0.825662132,0.821568979,0.825430758,1,0.650175173,0.550289617,0.725723352,0.251552852,0.71409193,0.705072062,0.063607012,0.042216608,0.139947394,0.628241473,0.75370362,0.711510678,0.572770811,0.211616918,0.261756543,0.722689172,0.152988143,0.250526059,-0.241216296,-0.039851043,-0.010762945,-0.030654423,-0.292562269,0.595189325,0.936042557,0.559959251
phz_variety,0.793717242,0.812264581,0.711603443,0.725395144,0.719303099,0.650175173,1,0.393954048,0.613066128,0.159505608,0.708110331,0.734992535,0.012039206,0.088555297,0.221135083,0.585675144,0.77627418,0.723787348,0.616086615,0.359602689,0.406345328,0.683885819,0.208262747,-0.192003783,0.042813687,-0.029307875,0.024105846,-0.010394307,-0.036045399,0.652285439,0.43959236,0.584041869
elevation.mean,0.33255477,0.267104261,0.586325177,0.624213565,0.604766743,0.550289617,0.393954048,1,0.90915486,0.618121537,0.706850209,0.606553005,0.155935445,-0.07430869,0.006105346,0.575388286,0.534207238,0.613224444,0.598123144,0.115583914,0.173683753,0.878158173,0.111652672,0.518390847,-0.598170528,-0.04216606,-0.038447241,-0.042641412,-0.703406583,0.511181622,0.542297216,0.680766433
elevation.range,0.617839963,0.556677235,0.78755971,0.821078274,0.804406877,0.725723352,0.613066128,0.90915486,1,0.53204922,0.814374706,0.802921704,0.142990984,0.005564772,0.005744944,0.693079814,0.724920403,0.771345346,0.71071032,0.206627119,0.271889445,0.978636963,0.140688999,0.400873663,-0.481495606,-0.053234852,-0.014597957,-0.040980226,-0.643634072,0.642538452,0.631810346,0.78528104
precipitation.mean,0.11202285,0.107979257,0.283730969,0.302674971,0.292932983,0.251552852,0.159505608,0.618121537,0.53204922,1,0.467848434,0.407666703,0.094378853,-0.062980685,-0.009161626,0.43799308,0.198029348,0.368162409,0.423206631,0.002916528,0.048321169,0.492105822,0.122009137,0.292631844,-0.502218551,-0.052861114,-0.029051325,-0.046236113,-0.497064774,0.278083011,0.270205127,0.52539305
